Date,Time,Host,Result,Guest,Audience,MVP
10.11.2017,18:00,Cuprum Lubin,"2:3 (25:12, 25:20, 23:25, 15:25, 10:15)",Asseco Resovia Rzeszów,2846,Jakub Jarosz
11.11.2017,14:45,MKS Będzin,"3:1 (37:35, 25:19, 21:25, 25:17)",BBTS Bielsko-Biała,1140,Bartłomiej Grzechnik
12.11.2017,14:45,Łuczniczka Bydgoszcz,"3:0 (25:23, 25:19, 25:18)",Aluron Virtu Warta Zawiercie,1860,Bartosz Filipiak
13.11.2017,19:00,Espadon Szczecin,"3:0 (25:21, 25:16, 25:18)",Dafi Społem Kielce,604,Marcin Wika
21.11.2017,19:45,GKS Katowice,"0:3 (14:25, 16:25, 13:25)",ZAKSA Kędzierzyn-Koźle,4200,Benjamin Toniutti
29.11.2017,18:00,Czarni Radom,"0:3 (21:25, 22:25, 14:25)",Jastrzębski Węgiel,1500,Maciej Muzaj
17.11.2017,18:00,BBTS Bielsko-Biała,"3:2 (18:25, 25:20, 20:25, 25:21, 15:12)",Espadon Szczecin,500,Piotr Łukasik
18.11.2017,14:45,Asseco Resovia Rzeszów,"3:1 (25:21, 25:16, 19:25, 25:23)",Czarni Radom,4138,Bartłomiej Lemański
18.11.2017,15:00,Jastrzębski Węgiel,"3:0 (25:19, 25:23, 25:19)",Łuczniczka Bydgoszcz,2007,Salvador Hidalgo Oliva
18.11.2017,15:00,PGE Skra Bełchatów,"3:0 (25:22, 25:22, 25:22)",GKS Katowice,2331,Patryk Czarnowski
18.11.2017,17:00,ZAKSA Kędzierzyn-Koźle,"3:1 (25:13, 22:25, 25:13, 25:21)",MKS Będzin,1700,Kamil Semeniuk
18.11.2017,17:00,Aluron Virtu Warta Zawiercie,"2:3 (25:23, 18:25, 23:25, 25:16, 12:15)",Onico Warszawa,1500,Nikola Ǵorǵiev
19.11.2017,14:45,Indykpol AZS Olsztyn,"3:0 (27:25, 25:22, 25:15)",Cuprum Lubin,1800,Jakub Kochanowski
19.11.2017,15:00,Dafi Społem Kielce,"0:3 (23:25, 33:35, 11:25)",Trefl Gdańsk,1360,Damian Schulz
24.11.2017,18:00,Espadon Szczecin,"2:3 (21:25, 27:25, 25:21, 14:25, 9:15)",ZAKSA Kędzierzyn-Koźle,3500,Sam Deroo
24.11.2017,18:00,Dafi Społem Kielce,"2:3 (17:25, 25:23, 25:22, 27:29, 10:15)",BBTS Bielsko-Biała,967,Bartosz Janeczek
25.11.2017,14:45,Czarni Radom,"3:0 (25:17, 25:20, 27:25)",Indykpol AZS Olsztyn,1500,Michał Filip
25.11.2017,17:00,Łuczniczka Bydgoszcz,"1:3 (23:25, 21:25, 25:22, 17:25)",Asseco Resovia Rzeszów,2500,Bartłomiej Lemański
25.11.2017,18:00,MKS Będzin,"0:3 (17:25, 14:25, 21:25)",PGE Skra Bełchatów,1400,Bartosz Bednorz
25.11.2017,18:30,GKS Katowice,"0:3 (10:25, 23:25, 21:25)",Aluron Virtu Warta Zawiercie,800,Taichirō Koga
26.11.2017,14:45,Onico Warszawa,"3:0 (25:16, 27:25, 28:26)",Jastrzębski Węgiel,3500,Bartosz Kwolek
26.11.2017,20:00,Cuprum Lubin,"2:3 (40:38, 25:19, 18:25, 18:25, 14:16)",Trefl Gdańsk,1572,Damian Schulz
01.12.2017,18:00,Asseco Resovia Rzeszów,"0:3 (23:25, 23:25, 17:25)",Onico Warszawa,4023,Antoine Brizard
