Date,Time,Host,Result,Guest,Audience,MVP
26.02.2017,14:45,PGE Skra Bełchatów,"3:2 (25:27, 25:17, 23:25, 25:15, 15:10)",Jastrzębski Węgiel,2700,Bartosz Kurek
26.02.2017,17:00,Espadon Szczecin,"2:3 (16:25, 28:26, 25:22, 20:25, 11:15)",GKS Katowice,930,Karol Butryn
02.03.2017,19:00,AZS Politechnika Warszawska,"1:3 (23:25, 25:18, 18:25, 20:25)",Effector Kielce,900,Marcin Komenda
03.03.2017,18:00,Łuczniczka Bydgoszcz,"1:3 (21:25, 25:20, 23:25, 22:25)",Espadon Szczecin,1420,Janusz Gałązka
04.03.2017,14:45,Indykpol AZS Olsztyn,"2:3 (25:19, 25:23, 17:25, 21:25, 10:15)",Asseco Resovia Rzeszów,2350,Fabian Drzyzga
04.03.2017,17:00,Czarni Radom,"3:0 (27:25, 26:24, 25:21)",Cuprum Lubin,1400,Jakub Ziobrowski
04.03.2017,17:00,BBTS Bielsko-Biała,"1:3 (25:20, 17:25, 14:25, 26:28)",MKS Będzin,700,Rafael Rodrigues de Araújo
04.03.2017,20:00,GKS Katowice,"2:3 (22:25, 25:21, 20:25, 25:22, 13:15)",PGE Skra Bełchatów,1500,Karol Kłos
05.03.2017,15:00,Trefl Gdańsk,"1:3 (20:25, 25:14, 18:25, 26:28)",Jastrzębski Węgiel,3700,Lukas Kampa
06.03.2017,18:00,AZS Częstochowa,"0:3 (15:25, 16:25, 20:25)",ZAKSA Kędzierzyn-Koźle,1000,Grzegorz Pająk
17.01.2017,18:00,GKS Katowice,"3:2 (25:22, 25:13, 20:25, 16:25, 15:13)",Trefl Gdańsk,2500,Serhij Kapełuś
07.03.2017,19:00,AZS Politechnika Warszawska,"3:1 (25:20, 25:20, 21:25, 25:18)",Czarni Radom,2000,Maciej Olenderek
08.03.2017,17:00,PGE Skra Bełchatów,"3:0 (25:14, 25:14, 25:9)",Łuczniczka Bydgoszcz,1800,Mariusz Wlazły
08.03.2017,18:00,ZAKSA Kędzierzyn-Koźle,"3:0 (25:22, 25:9, 25:20)",BBTS Bielsko-Biała,2300,Sam Deroo
08.03.2017,18:00,Asseco Resovia Rzeszów,"3:0 (25:21, 25:20, 25:15)",AZS Częstochowa,3623,Marko Ivović
08.03.2017,18:00,Espadon Szczecin,"2:3 (25:20, 25:27, 25:17, 16:25, 11:15)",Indykpol AZS Olsztyn,926,Daniel Pliński
08.03.2017,18:00,Cuprum Lubin,"2:3 (25:17, 25:22, 22:25, 21:25, 11:15)",Jastrzębski Węgiel,2600,Patryk Strzeżek
08.03.2017,20:30,MKS Będzin,"3:1 (25:22, 25:13, 19:25, 25:20)",Effector Kielce,1100,Marcin Waliński
11.03.2017,14:45,Indykpol AZS Olsztyn,"2:3 (27:29, 15:25, 25:22, 25:19, 9:15)",PGE Skra Bełchatów,2400,Srećko Lisinac
11.03.2017,15:00,BBTS Bielsko-Biała,"0:3 (16:25, 19:25, 19:25)",Asseco Resovia Rzeszów,1500,John Perrin
11.03.2017,17:00,AZS Częstochowa,"1:3 (15:25, 25:21, 14:25, 21:25)",Espadon Szczecin,700,Michal Sládeček
11.03.2017,17:00,Łuczniczka Bydgoszcz,"2:3 (25:23, 22:25, 25:19, 18:25, 13:15)",Trefl Gdańsk,1250,Damian Schulz
11.03.2017,17:00,GKS Katowice,"2:3 (25:23, 13:25, 18:25, 29:27, 12:15)",Cuprum Lubin,750,Robert Täht
11.03.2017,18:00,MKS Będzin,"1:3 (23:25, 21:25, 25:18, 21:25)",AZS Politechnika Warszawska,1100,Bartosz Kwolek
12.03.2017,17:00,Effector Kielce,"0:3 (19:25, 19:25, 15:25)",ZAKSA Kędzierzyn-Koźle,3100,Sam Deroo
13.03.2017,18:00,Jastrzębski Węgiel,"3:0 (25:23, 25:20, 25:19)",Czarni Radom,2450,Maciej Muzaj
17.03.2017,18:00,Espadon Szczecin,"2:3 (23:25, 23:25, 25:16, 25:23, 18:20)",BBTS Bielsko-Biała,520,Kamil Kwasowski
17.03.2017,18:00,Czarni Radom,"2:3 (24:26, 14:25, 25:18, 25:23, 22:24)",GKS Katowice,1500,Serhij Kapełuś
18.03.2017,14:45,AZS Politechnika Warszawska,"3:2 (25:23, 20:25, 19:25, 25:21, 15:12)",Jastrzębski Węgiel,3700,Michał Filip
18.03.2017,17:00,PGE Skra Bełchatów,"3:0 (25:19, 25:18, 25:19)",AZS Częstochowa,2700,Mariusz Wlazły
18.03.2017,17:00,Asseco Resovia Rzeszów,"3:1 (25:17, 25:14, 20:25, 25:15)",Effector Kielce,4070,Jochen Schöps
18.03.2017,17:00,Cuprum Lubin,"3:1 (26:24, 17:25, 25:21, 25:19)",Łuczniczka Bydgoszcz,1700,Łukasz Kaczmarek
18.03.2017,20:00,Trefl Gdańsk,"0:3 (26:28, 25:27, 18:25)",Indykpol AZS Olsztyn,3500,Jan Hadrava
19.03.2017,17:00,ZAKSA Kędzierzyn-Koźle,"3:1 (28:30, 25:18, 25:23, 27:25)",MKS Będzin,2300,Dawid Konarski
24.03.2017,20:30,AZS Częstochowa,"0:3 (17:25, 24:26, 15:25)",Trefl Gdańsk,900,Damian Schulz
25.03.2017,14:45,Indykpol AZS Olsztyn,"3:1 (17:25, 25:17, 25:21, 25:23)",Cuprum Lubin,1800,Paweł Woicki
25.03.2017,15:00,BBTS Bielsko-Biała,"0:3 (19:25, 24:26, 14:25)",PGE Skra Bełchatów,2501,Mariusz Wlazły
25.03.2017,17:00,Czarni Radom,"3:1 (25:11, 25:18, 23:25, 25:22)",Łuczniczka Bydgoszcz,1300,Tomasz Fornal
25.03.2017,20:00,Effector Kielce,"2:3 (25:20, 25:27, 22:25, 25:23, 11:15)",Espadon Szczecin,2600,Michał Ruciak
26.03.2017,17:00,MKS Będzin,"0:3 (17:25, 16:25, 18:25)",Asseco Resovia Rzeszów,1400,Marko Ivović
26.03.2017,18:00,ZAKSA Kędzierzyn-Koźle,"3:0 (25:22, 25:16, 25:12)",AZS Politechnika Warszawska,1300,Sam Deroo
28.03.2017,18:00,GKS Katowice,"2:3 (20:25, 23:25, 25:22, 25:21, 9:15)",Jastrzębski Węgiel,4600,Lukas Kampa
31.03.2017,18:00,Czarni Radom,"1:3 (25:23, 15:25, 19:25, 19:25)",Indykpol AZS Olsztyn,1100,Paweł Woicki
01.04.2017,14:45,Jastrzębski Węgiel,"3:0 (25:17, 25:21, 25:19)",Łuczniczka Bydgoszcz,2270,Salvador Hidalgo Oliva
01.04.2017,14:45,AZS Politechnika Warszawska,"3:0 (25:19, 25:20, 28:26)",GKS Katowice,2800,Michał Filip
01.04.2017,15:00,BBTS Bielsko-Biała,"2:3 (21:25, 23:25, 25:20, 25:16, 17:19)",Trefl Gdańsk,800,Mateusz Mika
01.04.2017,17:00,Cuprum Lubin,"3:0 (25:23, 25:8, 25:20)",AZS Częstochowa,1300,Grzegorz Łomacz
01.04.2017,20:00,Asseco Resovia Rzeszów,"3:0 (25:21, 25:22, 25:19)",ZAKSA Kędzierzyn-Koźle,4300,Jochen Schöps
02.04.2017,16:30,Espadon Szczecin,"3:2 (25:23, 19:25, 21:25, 25:21, 15:11)",MKS Będzin,430,Michał Ruciak
02.04.2017,17:30,PGE Skra Bełchatów,"3:0 (25:14, 25:19, 25:17)",Effector Kielce,2700,Karol Kłos
